OSCR: 0.88%*++
PCVX: 1.08%
PEN: 18财12.03%+
PFE: 1.29%*+
PHG: 19财-11.52%
PODD: 20财1.06%+
PRCT: 0.43%
QGEN: -1.97%
RARE: 1.54%+
RDNT: 4.64%+
RDY: -1.40%--
REGN: 0.83%+
RGEN: 20财3.82%
RMD: 1.70%
RNA: -0.31%--
ROIV: -0.09%
RPRX: -0.79%*
RVMD: 2.10%+
RVTY: 2.93%
SEM: 20财0.63%+
SMMT: 18财2.47%
SNN: -1.27%
SNY: -0.65%-
SOLV: -0.48%
SRPT: 1.68%
STE: 0.79%++
STVN: 1.04%++
SYK: 0.75%+
